offer_type,difficulty,reward,duration,age_group,income_group,reception,view,completion,view_rate,completion_rate,completion_to_view_rate,total_amount,average_amount,total_reward,channels
discount,7,3,7,50-59,$100K-$120K,155,150,130,0.967742,0.83871,0.866667,4255.95,32.738077,390,"['web', 'email', 'mobile', 'social']"
discount,10,2,7,50-59,$100K-$120K,162,68,121,0.419753,0.746914,1.779412,3452.95,28.536777,242,"['web', 'email', 'mobile']"
discount,10,2,10,50-59,$100K-$120K,199,186,181,0.934673,0.909548,0.973118,8118.98,44.856243,362,"['web', 'email', 'mobile', 'social']"
discount,20,5,10,50-59,$100K-$120K,164,31,117,0.189024,0.713415,3.774194,3708.53,31.696838,585,"['web', 'email']"
discount,7,3,7,50-59,$120K+,1,1,1,1,1,1,8.99,8.99,3,"['web', 'email', 'mobile', 'social']"
discount,10,2,7,50-59,$120K+,1,1,0,1,0,0,,,,"['web', 'email', 'mobile']"
discount,20,5,10,50-59,$120K+,2,0,0,0,0,,,,,"['web', 'email']"
discount,7,3,7,50-59,$40K-$60K,389,378,258,0.971722,0.663239,0.68254,4303.55,16.680426,774,"['web', 'email', 'mobile', 'social']"
discount,10,2,7,50-59,$40K-$60K,393,212,199,0.53944,0.506361,0.938679,3720.73,18.697136,398,"['web', 'email', 'mobile']"
discount,10,2,10,50-59,$40K-$60K,385,373,278,0.968831,0.722078,0.745308,6077.02,21.859784,556,"['web', 'email', 'mobile', 'social']"
discount,20,5,10,50-59,$40K-$60K,417,139,184,0.333333,0.441247,1.323741,4795.3,26.061413,920,"['web', 'email']"
discount,7,3,7,50-59,$60K-$80K,472,451,373,0.955508,0.790254,0.827051,7792.64,20.891796,1119,"['web', 'email', 'mobile', 'social']"
discount,10,2,7,50-59,$60K-$80K,503,291,340,0.578529,0.675944,1.168385,8039.16,23.644588,680,"['web', 'email', 'mobile']"
discount,10,2,10,50-59,$60K-$80K,496,487,403,0.981855,0.8125,0.827515,8425.05,20.905831,806,"['web', 'email', 'mobile', 'social']"
discount,20,5,10,50-59,$60K-$80K,530,224,299,0.422642,0.564151,1.334821,8902.27,29.773478,1495,"['web', 'email']"
discount,7,3,7,50-59,$80K-$100K,372,361,289,0.97043,0.776882,0.800554,9210.7,31.870934,867,"['web', 'email', 'mobile', 'social']"
discount,10,2,7,50-59,$80K-$100K,373,252,279,0.675603,0.747989,1.107143,8283.79,29.691004,558,"['web', 'email', 'mobile']"
discount,10,2,10,50-59,$80K-$100K,352,344,292,0.977273,0.829545,0.848837,10247.19,35.093116,584,"['web', 'email', 'mobile', 'social']"
discount,20,5,10,50-59,$80K-$100K,400,190,290,0.475,0.725,1.526316,8437.46,29.09469,1450,"['web', 'email']"
discount,7,3,7,50-59,"Under $40K",133,129,82,0.969925,0.616541,0.635659,822.24,10.027317,246,"['web', 'email', 'mobile', 'social']"
discount,10,2,7,50-59,"Under $40K",151,55,53,0.364238,0.350993,0.963636,638.43,12.045849,106,"['web', 'email', 'mobile']"
discount,10,2,10,50-59,"Under $40K",141,133,95,0.943262,0.673759,0.714286,1077.16,11.338526,190,"['web', 'email', 'mobile', 'social']"
discount,20,5,10,50-59,"Under $40K",179,26,43,0.145251,0.240223,1.653846,867.56,20.175814,215,"['web', 'email']"
discount,7,3,7,60-69,$100K-$120K,146,136,121,0.931507,0.828767,0.889706,4929.41,40.738926,363,"['web', 'email', 'mobile', 'social']"
discount,10,2,7,60-69,$100K-$120K,156,64,112,0.410256,0.717949,1.75,3541.53,31.620804,224,"['web', 'email', 'mobile']"
discount,10,2,10,60-69,$100K-$120K,127,123,111,0.968504,0.874016,0.902439,3592.9,32.368468,222,"['web', 'email', 'mobile', 'social']"
discount,20,5,10,60-69,$100K-$120K,137,25,111,0.182482,0.810219,4.44,3479.4,31.345946,555,"['web', 'email']"
discount,7,3,7,60-69,$120K+,3,3,2,1,0.666667,0.666667,53.06,26.53,6,"['web', 'email', 'mobile', 'social']"
discount,10,2,7,60-69,$120K+,3,0,0,0,0,,,,,"['web', 'email', 'mobile']"
discount,10,2,10,60-69,$120K+,1,1,1,1,1,1,26.04,26.04,2,"['web', 'email', 'mobile', 'social']"
discount,20,5,10,60-69,$120K+,4,1,4,0.25,1,4,160.87,40.2175,20,"['web', 'email']"
discount,7,3,7,60-69,$40K-$60K,360,346,247,0.961111,0.686111,0.713873,3322.6,13.451822,741,"['web', 'email', 'mobile', 'social']"
discount,10,2,7,60-69,$40K-$60K,324,179,185,0.552469,0.570988,1.03352,3583.24,19.368865,370,"['web', 'email', 'mobile']"
discount,10,2,10,60-69,$40K-$60K,355,340,253,0.957746,0.712676,0.744118,3687.42,14.574783,506,"['web', 'email', 'mobile', 'social']"
discount,20,5,10,60-69,$40K-$60K,319,117,125,0.366771,0.39185,1.068376,3314.84,26.51872,625,"['web', 'email']"
discount,7,3,7,60-69,$60K-$80K,428,410,320,0.957944,0.747664,0.780488,7076,22.1125,960,"['web', 'email', 'mobile', 'social']"
discount,10,2,7,60-69,$60K-$80K,428,277,304,0.647196,0.71028,1.097473,7147.67,23.512072,608,"['web', 'email', 'mobile']"
discount,10,2,10,60-69,$60K-$80K,453,439,356,0.969095,0.785872,0.810934,8397.43,23.588287,712,"['web', 'email', 'mobile', 'social']"
discount,20,5,10,60-69,$60K-$80K,379,163,215,0.430079,0.567282,1.319018,6965.07,32.395674,1075,"['web', 'email']"
discount,7,3,7,60-69,$80K-$100K,299,288,246,0.963211,0.822742,0.854167,8537.87,34.706789,738,"['web', 'email', 'mobile', 'social']"
discount,10,2,7,60-69,$80K-$100K,317,214,240,0.675079,0.757098,1.121495,7447.36,31.030667,480,"['web', 'email', 'mobile']"
discount,10,2,10,60-69,$80K-$100K,306,297,261,0.970588,0.852941,0.878788,8724.36,33.426667,522,"['web', 'email', 'mobile', 'social']"
discount,20,5,10,60-69,$80K-$100K,317,149,228,0.470032,0.719243,1.530201,8364.01,36.684254,1140,"['web', 'email']"
discount,7,3,7,60-69,"Under $40K",147,135,97,0.918367,0.659864,0.718519,1703.22,17.558969,291,"['web', 'email', 'mobile', 'social']"
discount,10,2,7,60-69,"Under $40K",132,39,50,0.295455,0.378788,1.282051,1328.74,26.5748,100,"['web', 'email', 'mobile']"
discount,10,2,10,60-69,"Under $40K",152,149,86,0.980263,0.565789,0.577181,1030.95,11.987791,172,"['web', 'email', 'mobile', 'social']"
discount,20,5,10,60-69,"Under $40K",138,23,29,0.166667,0.210145,1.26087,674.72,23.266207,145,"['web', 'email']"
discount,7,3,7,70-79,$100K-$120K,81,73,66,0.901235,0.814815,0.90411,2060.48,31.219394,198,"['web', 'email', 'mobile', 'social']"
discount,10,2,7,70-79,$100K-$120K,108,47,76,0.435185,0.703704,1.617021,2170.11,28.554079,152,"['web', 'email', 'mobile']"
discount,10,2,10,70-79,$100K-$120K,96,93,88,0.96875,0.916667,0.946237,3659.27,41.582614,176,"['web', 'email', 'mobile', 'social']"
discount,20,5,10,70-79,$100K-$120K,98,23,76,0.234694,0.77551,3.304348,3279.24,43.147895,380,"['web', 'email']"
discount,7,3,7,70-79,$40K-$60K,209,201,132,0.961722,0.631579,0.656716,2025.33,15.343409,396,"['web', 'email', 'mobile', 'social']"
discount,10,2,7,70-79,$40K-$60K,175,97,94,0.554286,0.537143,0.969072,2012.83,21.413085,188,"['web', 'email', 'mobile']"
discount,10,2,10,70-79,$40K-$60K,186,181,116,0.973118,0.623656,0.640884,1861.13,16.044224,232,"['web', 'email', 'mobile', 'social']"
discount,20,5,10,70-79,$40K-$60K,195,55,75,0.282051,0.384615,1.363636,2030.57,27.074267,375,"['web', 'email']"
discount,7,3,7,70-79,$60K-$80K,235,229,170,0.974468,0.723404,0.742358,4094.24,24.083765,510,"['web', 'email', 'mobile', 'social']"
discount,10,2,7,70-79,$60K-$80K,254,141,152,0.555118,0.598425,1.078014,3763.78,24.761711,304,"['web', 'email', 'mobile']"
discount,10,2,10,70-79,$60K-$80K,222,218,167,0.981982,0.752252,0.766055,3373.62,20.201317,334,"['web', 'email', 'mobile', 'social']"
discount,20,5,10,70-79,$60K-$80K,240,90,121,0.375,0.504167,1.344444,2801.63,23.153967,605,"['web', 'email']"
discount,7,3,7,70-79,$80K-$100K,195,186,165,0.953846,0.846154,0.887097,5526.14,33.491758,495,"['web', 'email', 'mobile', 'social']"
discount,10,2,7,70-79,$80K-$100K,151,103,116,0.682119,0.768212,1.126214,3788.41,32.658707,232,"['web', 'email', 'mobile']"
discount,10,2,10,70-79,$80K-$100K,188,182,157,0.968085,0.835106,0.862637,5456.91,34.757389,314,"['web', 'email', 'mobile', 'social']"
discount,20,5,10,70-79,$80K-$100K,187,94,153,0.502674,0.818182,1.62766,6006.31,39.256928,765,"['web', 'email']"
discount,7,3,7,70-79,"Under $40K",70,68,56,0.971429,0.8,0.823529,742.28,13.255,168,"['web', 'email', 'mobile', 'social']"
discount,10,2,7,70-79,"Under $40K",74,21,36,0.283784,0.486486,1.714286,814.69,22.630278,72,"['web', 'email', 'mobile']"
discount,10,2,10,70-79,"Under $40K",85,83,61,0.976471,0.717647,0.73494,746.96,12.245246,122,"['web', 'email', 'mobile', 'social']"
discount,20,5,10,70-79,"Under $40K",103,18,37,0.174757,0.359223,2.055556,466.83,12.617027,185,"['web', 'email']"
discount,7,3,7,80+,$100K-$120K,59,58,51,0.983051,0.864407,0.87931,2882.7,56.523529,153,"['web', 'email', 'mobile', 'social']"
discount,10,2,7,80+,$100K-$120K,49,17,37,0.346939,0.755102,2.176471,1740.06,47.028649,74,"['web', 'email', 'mobile']"
discount,10,2,10,80+,$100K-$120K,50,47,45,0.94,0.9,0.957447,1380.27,30.672667,90,"['web', 'email', 'mobile', 'social']"
discount,20,5,10,80+,$100K-$120K,60,12,38,0.2,0.633333,3.166667,2588.48,68.117895,190,"['web', 'email']"
discount,7,3,7,80+,$120K+,1,1,1,1,1,1,92.28,92.28,3,"['web', 'email', 'mobile', 'social']"
discount,10,2,7,80+,$120K+,1,0,1,0,1,,28.73,28.73,2,"['web', 'email', 'mobile']"
discount,10,2,10,80+,$120K+,2,1,1,0.5,0.5,1,41.18,41.18,2,"['web', 'email', 'mobile', 'social']"
discount,7,3,7,80+,$40K-$60K,103,99,82,0.961165,0.796117,0.828283,1168.48,14.249756,246,"['web', 'email', 'mobile', 'social']"
discount,10,2,7,80+,$40K-$60K,126,57,60,0.452381,0.47619,1.052632,1351.93,22.532167,120,"['web', 'email', 'mobile']"
discount,10,2,10,80+,$40K-$60K,105,101,75,0.961905,0.714286,0.742574,1243.33,16.577733,150,"['web', 'email', 'mobile', 'social']"
discount,20,5,10,80+,$40K-$60K,105,37,45,0.352381,0.428571,1.216216,1850.15,41.114444,225,"['web', 'email']"
discount,7,3,7,80+,$60K-$80K,153,149,112,0.973856,0.732026,0.751678,2100.02,18.750179,336,"['web', 'email', 'mobile', 'social']"
discount,10,2,7,80+,$60K-$80K,154,89,106,0.577922,0.688312,1.191011,2164.71,20.421792,212,"['web', 'email', 'mobile']"
discount,10,2,10,80+,$60K-$80K,162,158,137,0.975309,0.845679,0.867089,3862.58,28.194015,274,"['web', 'email', 'mobile', 'social']"
discount,20,5,10,80+,$60K-$80K,167,58,91,0.347305,0.54491,1.568966,2749.84,30.218022,455,"['web', 'email']"
discount,7,3,7,80+,$80K-$100K,135,130,111,0.962963,0.822222,0.853846,3221.18,29.01964,333,"['web', 'email', 'mobile', 'social']"
discount,10,2,7,80+,$80K-$100K,114,70,86,0.614035,0.754386,1.228571,2336.13,27.164302,172,"['web', 'email', 'mobile']"
discount,10,2,10,80+,$80K-$100K,120,114,105,0.95,0.875,0.921053,3320.61,31.624857,210,"['web', 'email', 'mobile', 'social']"
discount,20,5,10,80+,$80K-$100K,115,47,81,0.408696,0.704348,1.723404,3007.99,37.135679,405,"['web', 'email']"
discount,7,3,7,80+,"Under $40K",56,54,35,0.964286,0.625,0.648148,335.24,9.578286,105,"['web', 'email', 'mobile', 'social']"
discount,10,2,7,80+,"Under $40K",39,11,17,0.282051,0.435897,1.545455,194.74,11.455294,34,"['web', 'email', 'mobile']"
discount,10,2,10,80+,"Under $40K",44,41,29,0.931818,0.659091,0.707317,456.01,15.724483,58,"['web', 'email', 'mobile', 'social']"
discount,20,5,10,80+,"Under $40K",41,9,18,0.219512,0.439024,2,222.62,12.367778,90,"['web', 'email']"
discount,7,3,7,Unknown,Unknown,991,958,270,0.9667,0.272452,0.281837,2997.6,11.102222,810,"['web', 'email', 'mobile', 'social']"
discount,10,2,7,Unknown,Unknown,1001,658,106,0.657343,0.105894,0.161094,1406.46,13.268491,212,"['web', 'email', 'mobile']"
discount,10,2,10,Unknown,Unknown,945,920,314,0.973545,0.332275,0.341304,3159.14,10.060955,628,"['web', 'email', 'mobile', 'social']"
discount,20,5,10,Unknown,Unknown,942,448,34,0.475584,0.036093,0.075893,876.28,25.772941,170,"['web', 'email']"
